Pregunta,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Respuesta_Correcta
¿Cuál es la capital de Francia?,Madrid,Berlín,París,Roma,C
¿Qué planeta es conocido como el planeta rojo?,Venus,Marte,Júpiter,Saturno,B
¿Cuál es el elemento químico con símbolo O?,Oro,Osmio,Oxígeno,Plata,C
¿Cuántos continentes hay en el mundo?,5,6,7,8,C
¿Qué órgano bombea sangre en el cuerpo?,Pulmón,Hígado,Corazón,Riñón,C
¿Cuál es la moneda oficial de Japón?,Yen,Dólar,Euro,Libra,A
¿Quién escribió "Hamlet"?,Dante,Shakespeare,Cervantes,Hemingway,B
¿Cuál es el río más largo del mundo?,Nilo,Amazonas,Tigre,Misisipi,B
¿Qué gas necesitamos para respirar?,Hidrógeno,Oxígeno,Helio,Carbono,B
¿En qué año llegó el hombre a la luna?,1965,1969,1972,1975,B
¿Cuál es el país más grande del mundo?,China,Canadá,Rusia,EEUU,C
¿Qué animal es conocido como el rey de la selva?,Tigre,León,Elefante,Jirafa,B
¿Cuál es la velocidad de la luz aprox. en km/s?,300000,150000,299792,280000,C
¿Cuál es el idioma más hablado en el mundo?,Inglés,Español,Chino Mandarín,Hindi,C
¿Cuál es la capital de Argentina?,Santiago,Buenos Aires,Lima,Montevideo,B
¿Qué instrumento mide la presión atmosférica?,Barómetro,Higrómetro,Termómetro,Anemómetro,A
¿Cuál es la montaña más alta del mundo?,K2,Everest,Kangchenjunga,Lhotse,B
¿Quién pintó la Mona Lisa?,Van Gogh,Picasso,Da Vinci,Rembrandt,C
¿Cuál es el océano más grande del mundo?,Atlántico,Índico,Pacífico,Ártico,C
¿Qué órgano produce la insulina?,Páncreas,Hígado,Corazón,Riñón,A
